Study 1,Study 2,Study 3,Weisman et al. (2017a),Weisman et al. (2017b),Gray et al. (2007),"Malle (2019, Study 1)","Malle (2019, Study 2)"
Being aware of things,,,[similar to 'Being conscious'],Be aware of things,[similar to 'Consciousness'],[similar to 'Can perceive things'],
Feeling calm,,,Feeling calm,Feel calm,,,
Feeling embarrassed,,,Feeling embarrassed,Feel embarrassed,Embarrassment. This survey asks you to judge which character is more capable of experiencing embarrassment.,[similar to 'Can feel shame or pride'],
Feeling guilty,,,Experiencing guilt,Feel guilty,,[similar to 'Can feel shame or pride'],
Feeling happy,Feeling happy,Feeling happy,Feeling happy,Feel happy,[similar to 'Joy'],,Feeling happy
Feeling loved,,,Feeling love,Feel love,,,
Feeling pain,Feeling pain,Feeling pain,Experiencing pain,Feel pain,Pain. This survey asks you to judge which character is more capable of experiencing physical or emotional pain.,Can be in physical pain,Feeling pain
Feeling pleasure,,,Experiencing pleasure,Feel pleasure,Pleasure. This survey asks you to judge which character is more capable of experiencing physical or emotional pleasure.,Can experience pleasure,Feeling pleasure
Feeling pride,,,Experiencing pride,Feel proud,Pride. This survey asks you to judge which character is more capable of experiencing pride.,Can feel shame or pride,
Feeling sad,,,[similar to 'Feeling depressed'],Feel sad,,,
Feeling safe,,,Feeling safe,Feel safe,,,
Feeling scared,,,Experiencing fear,Feel scared,Fear. This survey asks you to judge which character is more capable of feeling afraid or fearful.,,
Feeling tired,Feeling tired,,Feeling tired,Feel tired,,Has a need for sleep,
Getting angry,,,Getting angry,Get angry,Rage. This survey asks you to judge which character is more capable of experiencing violent or uncontrolled anger.,Can be angry,Getting angry
Being afraid of somebody,,,,,,,[similar to 'Disliking people']
Getting hungry,Getting hungry,Getting hungry,Getting hungry,Get hungry,Hunger. This survey asks you to judge which character is more capable of feeling hungry.,Can feel hunger,Being hungry
Getting hurt feelings,,,[similar to 'Feeling disrespected'],Get hurt feelings,,,
Having goals,,,Working toward a goal,Have goals,[similar to 'Planning'],,Setting goals
Having self-control,Having self-control,,[similar to 'Exercising self-restraint'],Have self-control,"Self control. This survey asks you to judge which character is more capable of exercising self-restraint over desires, emotions, or impulses.",Can exercise self-control,Excersing self-control
Having thoughts,,,Having thoughts,Have thoughts,Thought. This survey asks you to judge which character is more capable of thinking.,,
Having wants and desires,,,Having desires,Have desires,Desire. This survey asks you to judge which character is more capable of longing or hoping for things.,Can want certain things,Having desires
Hearing sounds,Hearing sounds,,Detecting sounds,Hear sounds,,[similar to 'Can see or hear things'],[similar to 'Seeing and hearing the world around them']
